latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-3.61038,144.59381,312.72,1,1,2022-05-14,0039,T,52,6.1NRT,298.55,6.68,D
-3.93292,144.46831,327.58,1,1,2022-05-14,0039,T,0,6.1NRT,296.29,20.84,D
-12.42672,141.87007,313.03,1.03,1.01,2022-05-14,0041,T,65,6.1NRT,298.6,7.04,D
-14.36817,132.30234,322.79,4.11,1.88,2022-05-14,0041,T,75,6.1NRT,296.08,104.86,D
-14.37112,132.2942,322.33,4.11,1.88,2022-05-14,0041,T,74,6.1NRT,295.84,106.9,D
-16.50676,136.48657,323.12,1.81,1.32,2022-05-14,0041,T,74,6.1NRT,303.15,28.89,D
-16.50968,136.50331,328.81,1.8,1.32,2022-05-14,0041,T,81,6.1NRT,303.04,44.41,D
-20.51238,139.24881,311.84,1.08,1.04,2022-05-14,0043,T,53,6.1NRT,299.02,5.86,D
-20.92047,134.77052,329.81,1.98,1.37,2022-05-14,0043,T,82,6.1NRT,300.95,58.89,D
-20.92394,134.78941,314.84,1.97,1.37,2022-05-14,0043,T,58,6.1NRT,299.64,17.37,D
-24.74247,136.93433,314.64,1.23,1.1,2022-05-14,0043,T,56,6.1NRT,298.99,7.59,D
-24.74448,136.9464,314.28,1.23,1.1,2022-05-14,0043,T,54,6.1NRT,298.99,7.2,D
-24.58614,-42.2556,308.53,1.02,1.01,2022-05-14,0120,T,47,6.1NRT,293.97,7.95,N
-22.92189,-43.75603,301.85,1.09,1.04,2022-05-14,0120,T,21,6.1NRT,288.32,5.93,N
-22.90395,-43.73208,301.16,1.09,1.04,2022-05-14,0120,T,20,6.1NRT,284.38,7.91,N
-22.90534,-43.7427,300.15,1.09,1.04,2022-05-14,0120,T,3,6.1NRT,286.33,7.17,N
-21.69775,-48.47396,310.38,2.04,1.39,2022-05-14,0122,T,80,6.1NRT,289.03,32.95,N
-21.69988,-48.49416,315.99,2.05,1.39,2022-05-14,0122,T,92,6.1NRT,289.36,45.54,N
-21.29338,-48.56631,303.17,2.05,1.39,2022-05-14,0122,T,54,6.1NRT,288.46,19.5,N
-21.08106,-48.38724,324.05,1.98,1.37,2022-05-14,0122,T,100,6.1NRT,289.93,63.58,N
-21.08302,-48.4064,308.91,1.98,1.37,2022-05-14,0122,T,76,6.1NRT,288.64,27.89,N
-21.07874,-48.39312,333.22,1.98,1.37,2022-05-14,0122,T,100,6.1NRT,290.33,94.75,N
-18.55138,-47.29686,301.27,1.53,1.22,2022-05-14,0122,T,39,6.1NRT,289.03,8.98,N
-18.5531,-47.31141,303.91,1.53,1.22,2022-05-14,0122,T,58,6.1NRT,288.84,11.78,N
-17.82189,-48.65599,300.52,1.86,1.33,2022-05-14,0122,T,29,6.1NRT,288.9,10.98,N
-17.44168,-47.00031,323.38,1.41,1.17,2022-05-14,0122,T,100,6.1NRT,290.08,36.49,N
-16.25757,-43.65091,306.69,1,1,2022-05-14,0122,T,69,6.1NRT,289.11,8.31,N
-15.65466,-45.83275,312.76,1.15,1.07,2022-05-14,0122,T,86,6.1NRT,289.88,14.84,N
-12.62479,-44.42035,344.83,1,1,2022-05-14,0124,T,100,6.1NRT,291.45,53.44,N
-12.62608,-44.42952,328.83,1,1,2022-05-14,0124,T,100,6.1NRT,290.5,28.51,N
-12.61581,-44.42169,319.81,1,1,2022-05-14,0124,T,99,6.1NRT,288.87,18.69,N
-12.61709,-44.43085,314.04,1,1,2022-05-14,0124,T,88,6.1NRT,289.06,13.49,N
-13.17592,-52.79315,301.57,3.32,1.72,2022-05-14,0124,T,42,6.1NRT,268.29,41.51,N
-11.75287,-45.8967,314.03,1.07,1.03,2022-05-14,0124,T,88,6.1NRT,287.58,15.53,N
-11.92447,-48.46622,309.36,1.49,1.2,2022-05-14,0124,T,77,6.1NRT,291.48,16.43,N
-11.27448,-47.52251,304.3,1.27,1.12,2022-05-14,0124,T,59,6.1NRT,290.75,7.32,N
-11.17622,-48.25297,317.89,1.4,1.17,2022-05-14,0124,T,96,6.1NRT,292.46,25.3,N
-11.17787,-48.26575,311.08,1.41,1.17,2022-05-14,0124,T,82,6.1NRT,291.73,16.17,N
-10.53949,-44.69216,307.62,1,1,2022-05-14,0124,T,54,6.1NRT,292.26,6.8,N
-10.53052,-44.69348,355.19,1,1,2022-05-14,0124,T,100,6.1NRT,293.62,73.13,N
-10.52155,-44.69481,324.56,1,1,2022-05-14,0124,T,100,6.1NRT,289.04,21.57,N
-9.59265,-40.35399,303.12,1.54,1.22,2022-05-14,0124,T,53,6.1NRT,289.44,7.03,N
-9.52816,-40.31277,309.99,1.55,1.23,2022-05-14,0124,T,79,6.1NRT,289.38,14.86,N
-9.01436,-40.56022,307.91,1.52,1.22,2022-05-14,0124,T,73,6.1NRT,291.44,10.86,N
-8.988,-40.60651,321.13,1.51,1.21,2022-05-14,0124,T,100,6.1NRT,291.86,30.5,N
-8.97714,-40.60828,308.78,1.51,1.21,2022-05-14,0124,T,76,6.1NRT,291.63,12.23,N
-8.29228,-46.04319,301.7,1.03,1.01,2022-05-14,0124,T,43,6.1NRT,279.59,5.46,N
